,YEAR,MO,DY,HR,WS50M,ALLSKY_SFC_SW_DWN,T2M,Season,Load,Price
129,2022,6,7,9,4.35,634.16,20.61,Summer,1881,0.15
130,2022,6,7,10,3.39,690.78,21.48,Summer,1869,0.2
131,2022,6,7,11,2.61,697.64,22.04,Summer,2052,0.2
132,2022,6,7,12,2.16,768.32,22.21,Summer,1884,0.2
133,2022,6,7,13,2.08,547.91,21.98,Summer,1875,0.2
134,2022,6,7,14,2.07,535.15,21.74,Summer,1887,0.2
135,2022,6,7,15,2.19,390.38,21.42,Summer,1887,0.15
136,2022,6,7,16,2.52,246.84,21.05,Summer,1881,0.15
137,2022,6,7,17,3.14,118.4,20.42,Summer,1771,0.15
138,2022,6,7,18,3.89,23.88,18.92,Summer,1856,0.2
139,2022,6,7,19,4.88,0.0,17.65,Summer,1866,0.2
140,2022,6,7,20,5.92,0.0,16.94,Summer,1694,0.2
141,2022,6,7,21,6.84,0.0,16.25,Summer,1559,0.15
142,2022,6,7,22,7.35,0.0,15.48,Summer,1479,0.15
143,2022,6,7,23,7.37,0.0,14.86,Summer,1384,0.05
144,2022,6,8,0,7.0,0.0,14.47,Summer,1109,0.05
145,2022,6,8,1,6.56,0.0,14.08,Summer,1170,0.05
146,2022,6,8,2,6.22,0.0,13.61,Summer,1164,0.05
147,2022,6,8,3,5.95,0.0,13.08,Summer,1139,0.05
148,2022,6,8,4,5.62,14.11,12.94,Summer,1136,0.05
149,2022,6,8,5,5.1,78.99,14.43,Summer,1167,0.05
150,2022,6,8,6,4.46,206.8,16.36,Summer,1173,0.05
151,2022,6,8,7,3.73,358.65,18.2,Summer,1449,0.15
152,2022,6,8,8,3.15,515.78,19.87,Summer,1798,0.15
153,2022,6,8,9,2.56,524.45,21.22,Summer,1881,0.15
154,2022,6,8,10,2.18,664.13,22.13,Summer,1869,0.2
155,2022,6,8,11,1.86,804.73,22.71,Summer,2052,0.2
156,2022,6,8,12,2.02,844.18,23.15,Summer,1884,0.2
157,2022,6,8,13,2.95,722.16,22.88,Summer,1875,0.2
158,2022,6,8,14,2.65,618.52,22.49,Summer,1887,0.2
159,2022,6,8,15,2.22,478.27,22.43,Summer,1887,0.15
160,2022,6,8,16,1.95,299.17,22.02,Summer,1881,0.15
161,2022,6,8,17,1.86,124.41,21.43,Summer,1771,0.15
162,2022,6,8,18,2.48,21.35,19.9,Summer,1856,0.2
163,2022,6,8,19,2.94,0.0,18.54,Summer,1866,0.2
164,2022,6,8,20,3.03,0.0,17.8,Summer,1694,0.2
165,2022,6,8,21,2.89,0.0,17.24,Summer,1559,0.15
166,2022,6,8,22,1.99,0.0,17.05,Summer,1479,0.15
167,2022,6,8,23,0.41,0.0,17.26,Summer,1384,0.05
168,2022,6,9,0,1.49,0.0,16.83,Summer,1109,0.05
169,2022,6,9,1,2.95,0.0,16.06,Summer,1170,0.05
170,2022,6,9,2,3.87,0.0,15.63,Summer,1164,0.05
171,2022,6,9,3,4.61,0.0,15.44,Summer,1139,0.05
