YEAR,MO,DY,HR,WS10M,T2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS50M
2022,6,13,16,3.82,24.43,269.15,211.15,5.48
2022,6,13,17,4.79,23.34,112.55,86.73,7.14
2022,6,13,18,4.85,21.05,18.38,19.94,8.15
2022,6,13,19,5.29,19.29,0,0,8.57
2022,6,13,20,5.65,18.37,0,0,8.76
2022,6,13,21,5.88,17.57,0,0,8.77
2022,6,13,22,5.96,16.95,0,0,8.58
2022,6,13,23,5.99,16.59,0,0,8.45
2022,6,14,0,6.09,16.42,0,0,8.47
2022,6,14,1,5.93,16.13,0,0,8.41
2022,6,14,2,5.7,15.78,0,0,8.33
2022,6,14,3,5.65,15.47,0,0,8.34
2022,6,14,4,5.89,15.43,14.12,17.73,8.4
2022,6,14,5,6.58,16.6,117.08,110.1,8.05
2022,6,14,6,8.18,18.44,283.77,270.94,10.13
2022,6,14,7,8.66,20.06,464.08,444.01,10.46
2022,6,14,8,8.57,21.43,635.5,606.32,10.34
2022,6,14,9,8.69,22.57,782,722.61,10.54
2022,6,14,10,8.71,23.44,872.05,792.55,10.64
2022,6,14,11,8.11,24.1,945.38,866.09,9.99
2022,6,14,12,7.27,24.37,921.9,403.55,9.02
2022,6,14,13,6.41,24.34,841.17,284.94,7.98
2022,6,14,14,5.81,23.9,707.85,166.37,7.27
2022,6,14,15,5.57,23.22,531.83,115.27,7.09
2022,6,14,16,5.63,22.24,331.62,90.4,7.42
2022,6,14,17,5.84,21,138.08,41.49,8
2022,6,14,18,6.13,19.47,21.98,12.45,8.63
2022,6,14,19,6.53,17.98,0,0,9.02
2022,6,14,20,6.43,16.82,0,0,8.64
2022,6,14,21,5.81,15.95,0,0,7.76
2022,6,14,22,5.37,15.38,0,0,7.33
2022,6,14,23,5.38,14.99,0,0,7.12
2022,6,15,0,5.21,14.7,0,0,6.75
2022,6,15,1,5.1,14.48,0,0,6.52
2022,6,15,2,4.99,14.32,0,0,6.37
2022,6,15,3,4.78,14.22,0,0,6.14
2022,6,15,4,4.45,14.18,12.33,10.22,5.77
2022,6,15,5,4.42,14.38,93.95,27.07,5.48
2022,6,15,6,4.71,14.87,233.25,86.84,5.63
2022,6,15,7,4.96,15.6,403.1,71.84,5.74
2022,6,15,8,4.79,16.48,571.33,97.68,5.43
2022,6,15,9,4.37,17.56,735.9,175.95,4.83
2022,6,15,10,3.54,18.85,833.88,281.88,3.91
2022,6,15,11,2.69,20.15,938.48,316.17,3.16
2022,6,15,12,2.4,21.33,910.15,293.04,3.16
2022,6,15,13,2.9,22.13,834.38,280.12,3.79
2022,6,15,14,3.54,22.51,707.55,264.52,4.56
2022,6,15,15,4.17,22.3,542.27,193.96,5.36
2022,6,15,16,4.69,21.6,352.58,119.37,6.01
2022,6,15,17,4.63,20.65,164.23,58.55,6.13
2022,6,15,18,4.13,19.26,25.77,22.98,5.9
2022,6,15,19,3.96,18.26,0,0,5.86
2022,6,15,20,4.12,18.01,0,0,6.12
2022,6,15,21,4.4,17.91,0,0,6.5
2022,6,15,22,4.56,17.85,0,0,6.6
2022,6,15,23,4.27,17.77,0,0,6.28
2022,6,16,0,3.84,17.66,0,0,5.78
2022,6,16,1,3.57,17.58,0,0,5.42
2022,6,16,2,3.62,17.45,0,0,5.45
2022,6,16,3,3.86,17.21,0,0,5.77
2022,6,16,4,4.11,17.02,16.45,20.82,5.97
2022,6,16,5,4.59,17.31,142.45,92.09,5.59
2022,6,16,6,4.64,17.96,327.6,228.38,5.37
2022,6,16,7,4.54,19.2,521.8,407.09,5.17
2022,6,16,8,4.04,20.58,696.4,640.06,4.59
2022,6,16,9,3.35,21.74,834,761.41,3.81
2022,6,16,10,2.94,22.57,922.83,774.48,3.34
2022,6,16,11,3.09,23.15,929.8,792.82,3.42
2022,6,16,12,3.49,23.47,909.02,690.27,3.85
2022,6,16,13,3.74,23.46,831.65,749.2,4.14
2022,6,16,14,3.63,23.25,703.7,678.88,4.02
2022,6,16,15,3.51,22.87,537.25,529.31,3.96
2022,6,16,16,3.28,22.28,348.92,340.52,3.85
2022,6,16,17,2.64,21.44,163.9,155.3,3.52
2022,6,16,18,2.04,19.7,19.08,23.07,3.27
2022,6,16,19,1.88,18.37,0,0,2.83
2022,6,16,20,1.45,18,0,0,2.07
2022,6,16,21,1.08,17.83,0,0,1.48
2022,6,16,22,1.03,17.59,0,0,1.33
2022,6,16,23,1.21,17.31,0,0,1.56
2022,6,17,0,1.43,16.94,0,0,1.85
2022,6,17,1,1.71,16.51,0,0,2.26
2022,6,17,2,2.07,15.98,0,0,2.81
2022,6,17,3,2.48,15.45,0,0,3.49
2022,6,17,4,2.79,15.42,14.73,13.27,4.21
2022,6,17,5,3.47,17.01,120.33,51.77,4.23
2022,6,17,6,3.32,18.62,275.23,124.42,3.65
2022,6,17,7,3.16,20.8,408,179.88,3.79
2022,6,17,8,3.16,22.23,558.95,240.91,3.9
2022,6,17,9,3.35,23.39,694.15,355.37,4.09
2022,6,17,10,3.24,24.37,775.33,472.84,3.87
2022,6,17,11,2.86,25.18,842.3,478.12,3.32
2022,6,17,12,2.77,25.7,835,500.87,3.16
2022,6,17,13,3.05,26.03,765.17,458.62,3.48
2022,6,17,14,3.58,26.08,641.27,332.41,4.12
2022,6,17,15,3.86,25.77,477.9,235.02,4.51
2022,6,17,16,3.82,25.06,298.23,137.27,4.6
2022,6,17,17,3.56,23.85,134.05,60.08,4.8
2022,6,17,18,3.5,22.15,22.5,16.31,5.32
2022,6,17,19,3.5,21.04,0,0,5.33
2022,6,17,20,2.97,20.51,0,0,4.5
2022,6,17,21,2.1,20.2,0,0,3.38
2022,6,17,22,1.34,19.97,0,0,2.19
2022,6,17,23,0.72,19.8,0,0,1.07
2022,6,18,0,0.67,19.74,0,0,1
2022,6,18,1,1.22,19.4,0,0,1.88
2022,6,18,2,1.66,19.17,0,0,2.68
2022,6,18,3,1.93,19,0,0,3.28
